timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684620521254,2,Reptiles,200,OK,Thread Group 1-7,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1684620521419,1,Main Catalog,200,OK,Thread Group 1-24,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620521468,1,Sign In,200,OK,Thread Group 1-20,text,true,,3925,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620521483,3,Birds,200,OK,Thread Group 1-3,text,true,,3710,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,3,0,0
1684620521555,4,Login,200,OK,Thread Group 1-11,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620521555,2,Login-0,302,Found,Thread Group 1-11,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,2,0,0
1684620521557,2,Login-1,200,OK,Thread Group 1-11,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620521636,1,Main Catalog,200,OK,Thread Group 1-25,text,true,,4832,218,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620521649,2,Birds,200,OK,Thread Group 1-4,text,true,,3710,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,2,0,0
1684620521832,2,Login,200,OK,Thread Group 1-12,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620521832,1,Login-0,302,Found,Thread Group 1-12,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1684620521833,1,Login-1,200,OK,Thread Group 1-12,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684620521868,1,Sign In,200,OK,Thread Group 1-21,text,true,,3921,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,1,0,0
1684620521954,2,Reptiles,200,OK,Thread Group 1-8,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,2,0,0
1684620522057,1,Birds,200,OK,Thread Group 1-5,text,true,,3710,249,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=BIRDS,1,0,0
1684620522061,1,Reptiles,200,OK,Thread Group 1-9,text,true,,3712,252,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES,1,0,0
1684620522110,3,Sign Out,200,OK,Thread Group 1-1,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684620522110,2,Sign Out-0,302,Found,Thread Group 1-1,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,2,0,0
